epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2140.84,2.02967,1.4994,1.00168,0.51439,0.50196,0.50192,0.21445,1.96455,1.60074,1.00633,0.0009308,0.0009308,0.0009308
56,2181.65,2.02507,1.4662,0.98143,0.55371,0.52545,0.53576,0.2298,1.93059,1.60048,1.00148,0.000911,0.000911,0.000911
57,2222.3,1.94386,1.48562,0.9962,0.55789,0.52232,0.54142,0.24037,1.93533,1.56233,1.00174,0.0008912,0.0008912,0.0008912
58,2262.48,1.98462,1.46671,1.01354,0.58651,0.55364,0.5644,0.25072,1.91918,1.48707,0.99876,0.0008714,0.0008714,0.0008714
59,2299.47,1.9732,1.42784,0.9825,0.59823,0.53641,0.56045,0.24846,1.91191,1.50561,1.00114,0.0008516,0.0008516,0.0008516
60,2336.59,1.97924,1.42983,1.00185,0.56557,0.53421,0.55266,0.24734,1.94926,1.54581,1.01741,0.0008318,0.0008318,0.0008318
61,2373.55,1.97976,1.44548,0.98738,0.57555,0.55912,0.56696,0.24863,1.93658,1.54101,1.00877,0.000812,0.000812,0.000812
62,2410.49,1.99244,1.49282,0.98644,0.57352,0.54894,0.54746,0.23981,1.91646,1.53958,1.00083,0.0007922,0.0007922,0.0007922
63,2448.14,1.95263,1.39327,0.97618,0.56096,0.5278,0.54485,0.24476,1.9413,1.54943,1.00945,0.0007724,0.0007724,0.0007724
64,2484.78,1.98291,1.46015,0.98826,0.57276,0.50196,0.53488,0.24163,1.91902,1.64898,1.00607,0.0007526,0.0007526,0.0007526
65,2521.51,2.01062,1.43844,0.99425,0.55758,0.50979,0.52612,0.22343,1.95674,1.57665,1.00472,0.0007328,0.0007328,0.0007328
66,2558.39,1.96912,1.37812,0.98985,0.57056,0.53485,0.548,0.25229,1.89715,1.50882,0.99263,0.000713,0.000713,0.000713
